......................facility..........................



(12345678, 1,1,0,1,1,0,0,1,0),
(23456789, 1,0,1,1,0,1,1,0,0),
(34567890, 0,1,0,1,0,0,1,0,1),
(56789012, 1,0,1,0,1,1,0,0,0),
(67890123, 0,1,1,1,0,1,0,0,1),
(78901234, 1,1,1,0,1,0,1,0,0),
(90123456, 0,1,1,0,1,1,1,0,0),
(12348765, 0,1,0,1,0,0,1,0,1),
(23459876, 1,0,1,1,0,1,0,1,1),
(34560987, 1,0,0,0,1,1,1,1,0),
(56782109, 1,1,0,1,1,0,0,1,1),
(67893210, 1,0,1,1,0,1,1,0,1),
(78904321, 1,0,1,1,0,1,1,0,1),
(90126543, 0,1,1,0,1,0,1,0,0),
(12347654, 0,1,1,1,0,1,0,0,1),
(23458765, 0,1,1,0,1,0,1,0,0),
(34569876, 1,0,0,1,0,1,0,1,1),
(56782198, 1,0,0,0,1,1,1,1,0),
(67893209, 0,1,1,0,1,0,1,0,1),
(78904320, 1,0,0,0,1,1,1,1,0),
(90126542, 1,0,1,0,1,1,1,1,0),
(12347653, 1,0,1,1,0,1,1,0,1),
(34569865, 0,1,1,0,1,1,1,0,1),
(56782087, 1,1,0,0,1,0,1,1,1),
(67893198, 0,1,1,0,1,0,1,0,0),
(78904309, 1,0,1,0,1,1,1,1,0),
(90126531, 1,0,0,0,0,1,0,1,1),
(12347642, 0,1,0,0,1,0,1,1,0),
(23458753, 1,0,1,1,0,1,1,0,1),
(34569864, 1,0,0,0,0,1,0,1,0),
(56782086, 0,1,0,0,1,0,1,1,1),
(67893197, 1,0,1,0,1,1,0,0,0),
(78904308, 1,0,1,0,1,1,1,1,0),
(90126530, 1,0,1,0,1,1,0,1,1),
(12347641, 0,1,1,1,0,1,0,0,1),
(23458752, 1,0,1,0,1,1,1,1,0),
(34569863, 1,0,1,1,0,1,1,0,1),
(56782085, 1,0,1,1,0,1,1,0,1),
(67893196, 0,0,0,0,0,1,0,1,1),
(45678901, 1,0,1,0,1,1,1,1,0),
(45670974, 0,0,1,0,1,1,0,0,1),
(89015419, 0,1,0,1,1,1,0,1,1),
(45670975, 1,0,1,0,1,1,1,1,0),
(89015420, 1,0,1,0,1,1,0,0,0),
(45670976, 1,0,1,1,0,1,1,0,1),
(89015431, 1,1,0,0,1,0,1,1,1),
(45670987, 0,0,0,0,0,1,0,1,0),
(89015432, 1,0,1,0,1,1,0,0,1),
(45671098, 1,1,0,0,1,1,0,1,1),
(89012345, 0,1,1,0,1,0,1,0,0),
(10000001, 1,0,1,1,0,1,1,0,1),
(10000002, 1,0,1,0,1,1,1,1,0),
(10000003, 0,1,0,1,0,0,1,0,1),
(10000004, 1,0,1,0,1,1,1,1,0),
(10000005, 0,1,1,1,0,1,1,0,1),
(10000006, 1,0,1,0,1,1,1,1,0),
(10000007, 0,1,1,0,1,1,1,0,0),
(10000008, 0,1,0,1,0,1,0,0,1),
(10000009, 1,0,1,1,0,1,1,0,1),
(10000010, 1,0,0,0,1,1,0,1,0),
(10000011, 0,1,0,1,1,1,0,1,1),
(10000012, 1,0,1,1,0,1,1,0,1),
(10000013, 1,0,1,1,0,1,1,0,1),
(10000014, 0,1,1,0,1,0,1,1,0),
(10000015, 0,1,1,1,0,0,0,0,1),
(10000016, 0,1,1,0,1,0,1,0,1),
(10000017, 1,0,0,1,0,1,0,1,1),
(10000018, 1,0,0,0,1,1,1,1,0),
(10000019, 0,1,1,0,1,0,1,0,1),
(10000020, 1,0,0,0,1,0,1,1,0),
(10000021, 1,0,1,0,1,1,0,1,0),
(10000022, 1,0,1,0,1,0,1,0,1),
(10000023, 0,1,0,0,1,1,1,0,1),
(10000024, 1,1,0,0,1,0,1,0,1),
(10000025, 0,1,1,0,1,0,1,0,0),
(10000026, 1,0,1,0,0,1,0,1,0),
(10000027, 1,0,0,0,0,1,0,1,1),
(10000028, 0,1,0,0,1,0,1,1,0),
(10000029, 0,0,1,1,0,1,1,0,1),
(10000030, 1,0,0,0,0,1,0,1,0),
(10000031, 0,1,0,0,1,0,0,0,1),
(10000032, 1,0,1,0,1,1,0,0,0),
(10000033, 0,0,1,0,1,0,1,0,0),
(10000034, 1,0,1,0,1,0,0,1,0),
(10000035, 0,1,0,1,0,1,0,0,1),
(10000036, 1,0,1,0,1,1,1,1,0),
(10000037, 0,0,1,1,0,1,1,0,1),
(10000038, 1,0,1,1,0,1,1,0,1),
(10000039, 0,0,0,0,0,1,0,1,1),
(10000040, 1,0,1,0,0,1,0,1,0),
(10000051, 0,0,1,0,1,1,0,0,1),
(10000052, 0,1,0,1,1,1,0,0,1),
(10000053, 1,0,1,0,0,1,0,1,0),
(10000054, 0,0,1,0,1,1,0,0,0),
(10000055, 1,0,1,1,0,1,1,0,1),
(10000056, 0,1,0,0,0,0,1,1,1),
(10000057, 1,0,1,0,0,1,0,1,0),
(10000058, 1,0,1,0,1,1,0,0,1),
(10000059, 1,1,0,0,0,1,0,1,1),
(10000060, 0,1,1,0,1,0,1,0,0),








